veve_uuid,series_uuid,supply,first_public,edition_type
025f038e-f202-4ba9-b64a-aff9ccaf30f2,460aa3b9-1f5e-4afa-91fa-9f5a8bd90eb8,414,21,FE
025f3171-042a-4d9c-bff1-b73f62166ba5,8165a951-1d2f-4055-9134-0b64b54a619c,5000,158,21
0262b465-17ca-49b8-b847-4205b17d9444,2c7366b3-a051-485a-bf83-10ab31249f1c,1000,11,1
026c4207-7f63-441b-8cf2-45a66f69cb2a,950669fa-34f8-49f1-bac4-78cebc6b9fd2,1000,11,3
026d3222-43d9-4010-9bd6-2bdb52e9d0d1,4d547832-803d-4201-98a0-c4590be00922,1000,11,8
0273de68-f993-43c1-9983-a93b34717be1,6e0da0e0-af93-4091-a814-2c4480ac7579,1000,11,1
0278799d-7c18-4df5-8883-48df742b5ff7,0f564ded-04cd-4d24-aeb1-85e0b2bc34f7,1000,11,1
027a939e-deb3-4c67-bed8-ee9ad6abac49,fdc8ce88-e99b-4814-8de4-72551982f331,1000,11,52
02804c9b-be1b-41b3-bef4-765f07fba913,eadc00b3-4faa-4b11-95d1-990e712b66d0,1000,11,2
0280fa47-28cc-487d-9659-9c813a2c1c5c,bd0a06b0-1fb2-4b7e-ad4b-f3ff72ce21b8,1000,11,27
0283c023-5edd-4584-82f2-268242c04bcf,9bb744a9-ecd8-485c-9c82-28c72b3191a4,1000,11,1
02999e7e-1512-42e7-8e09-795b4f1f7dcf,1aed3374-88e1-425c-ba5d-aed1e1c184a4,1000,11,1
029db1e8-9099-48ea-957e-40e09cb378d2,cb2b3639-124e-4208-b468-3c5ae9cca065,1000,11,5
029e8dd5-1d9f-40fd-ad08-e6afa12c2f18,5d0bc1ea-90f5-472e-a5a0-8d5f8a17fbb7,1000,11,1
02a0ded3-a757-4341-99a7-c32f1d7c5b0a,57a50879-35a1-4a93-a245-247cbc172bf5,2000,149,1
02a4bf30-92bf-4cda-aa9a-7541c79ff174,4fd8feff-cfb8-4f7f-9a59-5937bf6f3545,6000,166,5
02a6c2f1-0eae-40f4-8050-9026d2f70d9b,dd0bd19c-a9ed-449e-a070-7dd7b7972be7,1000,11,5
02a94a9e-a3da-49d4-b211-997b0ad60dcb,931db58e-a7b6-45fc-9103-53895da74ff0,990,21,
02af3a32-5603-476e-9247-ff315d724aaf,7e98fd34-03e9-4137-a998-9304fd060955,10000,186,1
02b0147a-dd02-4143-84da-5b3bfccdd3f5,21e3db84-f3a5-4130-a39f-5a0bff042553,1000,11,3
02b41051-228b-40ac-b978-94fd6b716a55,2cb4e7d1-14a5-4243-b3b1-f45ab910840d,1000,11,25
02b4decb-797b-4628-8046-fabae1e938dd,040eb1fd-9925-4fb6-8838-40b627bff5d2,1000,11,3
02bd4058-8e57-48e0-876c-a3ea83023740,ef428dd4-ff93-4ab7-aec4-b4cce4ae6889,1000,11,
02bee680-84c9-4800-bad6-a13b9376c2ff,77ea3e82-9d5e-449f-9276-72fe7c355e87,1000,11,15
02bfb2de-6bfa-405d-b4dd-b27e8142d7d2,2d5bad43-1a5f-4536-a45a-97e1b3b58363,1000,11,4
02c019b0-9c78-4acf-9ba5-c6635997a1bf,9a0baec9-b0a9-4941-9aff-184bc174ffac,1000,11,1
02c24483-d6e5-47bf-bc5d-ae5e1cc28c31,c3342ff4-2e6b-4b93-8121-e5502fe8433b,1000,11,10
02c4655f-2835-4499-8807-152e5ffb546a,46a57771-2d2c-4b65-bc98-45091a81198f,1000,11,8
02c4ee4f-4255-4cc2-8e3e-d158e04a242c,ae8030d9-899b-4e7d-8079-1a5aa4ce3270,1000,11,3
02c735d0-d549-4292-8337-c2f7f3a13e14,0e557e80-7c53-403b-a6b0-3ba378a20264,1000,11,1
02c7fc50-f83d-4fe9-a72f-334fb2b08fad,f6b293d2-c69c-428d-a002-5ee15588d7ba,1000,11,3
02d311e7-c154-425f-ad10-6e102b6eb7be,ce81ce0f-6c1b-4129-8654-9ea518c001f2,10000,186,12
02dd735b-2d5c-440e-ab82-f65dffdf8c32,305f71ba-5bd6-4dbc-af94-a52e8b9f839b,1000,11,33
02e11920-fafe-4e51-a969-82c6a7aef165,13d7efad-aa3e-4a17-9b98-0df31c8a3370,25,6,FE
02e3492a-d34b-4456-bc64-53d3e6a411fe,bf1a05da-dc75-42d0-9be3-3d651fff07c0,1000,11,5
02e39dfa-e417-4e5e-a8aa-fa8045212b47,c2550125-45b9-4bc8-8db0-9b317670d417,1000,11,8
02e57752-1b5c-401a-9c3d-a1c51b8df300,2c710269-e702-4bc3-841d-f13f5ddbcc47,2000,150,78
02e61244-4433-4c29-b97b-14855c6f1b84,c7066cc4-9ce6-49ad-bc1d-8a082a621243,1000,11,3
02f15f9d-a6e1-4cb3-adb7-101778d0d882,66bb7f3f-61ea-45e6-b48d-8287ff5997d6,6000,166,100
02f4aa6a-04b9-441a-84cf-d6f4615e8119,7bcbc7a2-2294-4526-8360-7ca938acd657,5000,158,5
02fc791e-bd72-4ee8-81b8-7e06eab81b17,7bb29703-f85c-4da4-8536-b410d9aa4352,1000,11,4
02fd0af3-be8b-4409-82ed-827a04b94fbd,0ed6a7fb-5d07-4a75-8cf3-ef7a27d04801,1000,11,9
0302a782-8fb1-4006-96b7-683ad605d50c,8926d475-5c9a-43bb-a291-38849ae9c156,10000,146,#265
0308c7f6-bc02-4619-9df1-d852aec80dc8,e8f1ee9c-8fc4-4132-bf47-f11b9179f5fb,1000,11,21
030d76ec-0045-4379-8a92-df0d10d19ac1,d494edc6-9303-4384-afd2-0700ca918092,1000,11,1
0310a087-4545-4967-91d6-59c79230a6bd,7765f79f-01c9-41c6-9f72-58d5f75c901b,1000,11,9
0311f5b3-f360-4de2-baba-81db9253ce4a,b2dbe735-85c2-4c34-8af0-1d79bd87ddac,1000,11,31
03189090-d22b-44eb-a218-8a73043fd095,c447b8df-22bb-4f71-bb12-0a6ddb7ccc86,1000,11,10
0319ec86-0aa6-4a13-ae06-30a4eddc58ae,85dc0d0d-90ae-4f23-ae13-29408a51385c,1000,11,3
031a28d1-7c8c-45bb-9358-d60da496f18a,04a3f643-75d0-4d9d-8591-09a77d039fbe,1000,11,4
031c1db3-2db5-41cf-92dd-fa0daf0f0878,a914a8cc-0274-49f6-a9db-a9dd45d1cad6,1000,100,4
0321fd63-28b7-41c2-8c6a-d2fe998bb064,023e8b04-d660-4982-a1fa-3b1066ac7e36,1000,11,3
0323188c-1214-4249-afd3-586fc4fbe0b2,753cfb9a-c57d-4abf-a5c5-6320de0815ca,1000,12,4
032445b4-9744-4cef-9f1e-10726643d60f,55af8687-6f1e-4141-a970-b5761320ed0f,1000,11,1
03269963-a7f8-42ae-92b5-498471ed4736,1083f034-5d08-49b3-bb58-60e356da7e3c,1000,11,2
03275e70-560f-4e30-bd01-6c0f1232ea87,8926d475-5c9a-43bb-a291-38849ae9c156,10000,146,#265
0329190a-3b5a-47c6-ab7d-a8d1b87985c5,cf09d5f9-2094-4459-9d85-d766b23c7a0e,1000,11,19
